FID Sex Sample_ID POP_CODE POP_NAME SuperPOP_CODE
HG01527 male SAME125326 IBS Spanish EUR
HG01528 female SAME125329 IBS Spanish EUR
HG01530 male SAME125137 IBS Spanish EUR
HG01531 female SAME125136 IBS Spanish EUR
HG01536 male SAME125135 IBS Spanish EUR
HG01537 female SAME125134 IBS Spanish EUR
HG01550 male SAME124009 CLM Colombian AMR
HG01551 female SAME124008 CLM Colombian AMR
HG01556 male SAME1840141 CLM Colombian AMR
HG01565 male SAME124566 PEL Peruvian AMR
HG01566 female SAME124564 PEL Peruvian AMR
HG01571 male SAME124346 PEL Peruvian AMR
HG01572 female SAME124705 PEL Peruvian AMR
HG01577 male SAME124349 PEL Peruvian AMR
HG01578 female SAME124351 PEL Peruvian AMR
HG01583 male SAME1839895 PJL Punjabi SAS
HG01586 male SAME1839879 PJL Punjabi SAS
HG01589 male SAME1839859 PJL Punjabi SAS
HG01593 female SAME1839634 PJL Punjabi SAS
HG01595 female SAME123569 KHV Kinh-Vietnamese EAS
HG01596 male SAME125227 KHV Kinh-Vietnamese EAS
HG01597 female SAME125226 KHV Kinh EAS
HG01598 female SAME125239 KHV Kinh-Vietnamese EAS
HG01599 female SAME125238 KHV Kinh-Vietnamese EAS
HG01600 female SAME123456 KHV Kinh EAS
HG01602 female SAME123454 IBS Spanish EUR
HG01603 male SAME123453 IBS Spanish EUR
HG01605 female SAME123459 IBS Spanish EUR
HG01606 male SAME123458 IBS Spanish EUR
HG01607 female SAME123457 IBS Spanish EUR
HG01608 male SAME123462 IBS Spanish EUR
HG01610 male SAME123623 IBS Spanish EUR
HG01612 female SAME123625 IBS Spanish EUR
HG01613 female SAME123626 IBS Spanish EUR
HG01615 male SAME123628 IBS Spanish EUR
HG01617 male SAME123630 IBS Spanish EUR
HG01618 female SAME123631 IBS Spanish EUR
HG01619 male SAME123632 IBS Spanish EUR
HG01620 female SAME123844 IBS Spanish EUR
HG01623 female SAME123845 IBS Spanish EUR
HG01624 male SAME123840 IBS Spanish EUR
HG01625 male SAME123839 IBS Spanish EUR
HG01626 female SAME123842 IBS Spanish EUR
HG01628 female SAME123837 IBS Spanish EUR
HG01630 male SAME124034 IBS Spanish EUR
HG01631 male SAME124035 IBS Spanish EUR
HG01632 female SAME124032 IBS Spanish EUR
HG01668 female SAME123111 IBS Spanish EUR
HG01669 male SAME123110 IBS Spanish EUR
HG01670 female SAME123290 IBS Spanish EUR
HG01672 male SAME123288 IBS Spanish EUR
HG01673 female SAME123289 IBS Spanish EUR
HG01675 male SAME123287 IBS Spanish EUR
